real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
1,1,1,95,1,4,83,1,1,95,1,1,95
0,1,2,94,1,4,83,1,1,95,1,1,95
0,1,5,69,1,1,95,1,1,95,1,1,95
0,1,4,83,1,1,95,1,1,95,1,1,95
0,1,5,47,1,1,95,1,4,83,1,1,95
1,1,4,72,1,5,69,1,1,95,1,1,95
1,1,1,87,1,5,47,1,1,95,1,4,83
0,1,4,83,1,4,72,1,5,69,1,1,95
0,1,4,83,1,1,87,1,5,47,1,2,94
0,1,4,86,1,4,83,1,4,83,1,4,72
0,1,4,86,1,4,83,1,4,83,1,1,87
0,1,5,63,1,4,86,1,4,83,1,4,83
0,1,4,83,1,4,86,1,4,83,1,4,83
0,1,4,66,1,4,86,1,4,83,1,4,83
0,1,1,86,1,4,86,1,4,86,1,4,83
1,1,1,89,1,5,63,1,4,86,1,4,83
1,1,2,96,1,4,83,1,4,86,1,4,83
0,1,1,96,1,4,66,1,4,86,1,4,86
1,1,1,95,1,1,89,1,5,63,1,4,86
0,2,1,78,1,1,89,1,4,83,1,4,86
1,2,1,88,1,2,96,1,4,83,1,4,86
1,2,1,88,1,2,96,1,4,66,1,4,86
0,3,3,51,1,1,96,1,1,86,1,4,86
0,2,1,46,1,1,95,1,1,89,1,5,63
0,2,3,60,2,1,78,1,1,89,1,4,83
0,1,1,81,2,1,88,1,2,96,1,4,83
0,1,3,81,2,1,88,1,2,96,1,4,66
0,1,4,89,3,3,51,1,1,96,1,1,86
0,3,5,25,2,1,46,1,1,95,1,1,89
0,1,5,16,1,1,81,2,1,88,1,2,96
0,2,1,24,1,3,81,2,1,88,1,1,96

0,1,3,86,1,6,8,1,6,14,1,6,5
0,1,3,92,1,6,8,1,6,14,1,6,1
0,1,4,83,1,4,55,1,6,16,1,6,8
1,1,4,83,1,4,55,1,6,16,1,6,17
1,1,1,87,1,4,55,1,6,8,1,6,29
1,1,1,95,1,3,86,1,6,8,1,6,14
1,1,1,95,1,4,83,1,4,55,1,6,16
1,1,1,95,1,4,83,1,4,55,1,6,16
1,1,1,95,1,1,87,1,4,55,1,6,8
1,1,1,95,1,1,87,1,3,86,1,6,8
1,1,1,95,1,1,95,1,4,83,1,4,55
0,1,1,95,1,1,95,1,4,83,1,4,55
0,1,4,83,1,1,95,1,1,95,1,3,86
0,1,3,90,1,1,95,1,1,95,1,3,92
0,1,3,90,1,1,95,1,1,95,1,1,87
1,1,1,90,1,4,83,1,1,95,1,1,95
1,1,1,91,1,3,90,1,1,95,1,1,95
1,1,1,95,1,3,90,1,1,95,1,1,95
0,1,3,91,1,1,90,1,4,83,1,1,95
0,1,1,90,1,1,91,1,3,90,1,1,95
0,1,3,90,1,1,95,1,3,90,1,1,95
0,1,2,92,1,3,91,1,1,90,1,4,83
0,1,4,86,1,1,90,1,1,91,1,3,90
