real,brigthnessMax,motionMax,sleepMax,brigthnessMin,motionMin,sleepMin,brigthnessMedian,motionMedian,sleepMedian,brigthnessAverage,motionAverage,sleepAverage
1,1,4,95,1,1,83,1,2,91,1,2,91
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,4,95,1,1,76,1,1,89,1,1,89
1,1,4,97,1,1,80,1,1,91,1,1,91
1,1,4,95,1,1,76,1,2,89,1,2,89
1,1,4,95,1,1,80,1,1,89,1,1,89
1,1,4,97,1,1,87,1,1,93,1,1,93
1,1,4,95,1,1,76,1,2,89,1,2,89
1,3,4,97,1,1,23,1,1,91,1,1,91
1,1,4,95,1,1,76,1,2,88,1,2,88
1,3,4,97,1,1,23,1,1,87,1,1,87
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,6,95,1,1,19,1,2,86,1,2,86
1,1,4,97,1,1,86,1,2,92,1,2,92
1,1,6,95,1,1,19,1,2,83,1,2,83
1,1,4,95,1,1,87,1,1,92,1,1,92
1,1,4,97,1,1,86,1,2,92,1,2,92
1,1,4,95,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,82,1,1,92,1,1,92
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,5,95,1,1,54,1,2,82,1,2,82
1,1,5,97,1,1,53,1,2,81,1,2,81
1,1,5,95,1,1,54,1,2,80,1,2,80
1,1,5,97,1,1,53,1,2,84,1,2,84
1,1,5,97,1,1,59,1,3,81,1,3,81
1,1,4,95,1,1,76,1,1,90,1,1,90
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,4,95,1,1,76,1,1,90,1,1,90
1,1,4,96,1,1,83,1,1,91,1,1,91
1,1,3,97,1,1,93,1,1,95,1,1,95
1,1,4,95,1,1,68,1,2,89,1,2,89
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,4,95,1,1,68,1,2,89,1,2,89
1,1,4,97,1,1,83,1,1,91,1,1,91
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,5,95,1,1,47,1,2,85,1,2,85
1,1,4,97,1,1,76,1,2,88,1,2,88
1,1,5,95,1,1,47,1,2,83,1,2,83
1,1,4,95,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,81,1,2,89,1,2,89
1,2,5,95,1,1,41,1,2,86,1,2,86
1,1,3,97,1,1,90,1,1,93,1,1,93
1,2,5,95,1,1,41,1,2,85,1,2,85
1,1,4,97,1,1,80,1,1,91,1,1,91
1,1,3,97,1,1,92,1,1,93,1,1,93
1,2,5,95,1,1,57,1,2,87,1,2,87
1,2,4,97,1,1,63,1,2,87,1,2,87
1,2,5,94,1,1,57,1,2,85,1,2,85
1,1,4,95,1,1,80,1,2,87,1,2,87
1,2,4,97,1,1,63,1,1,88,1,1,88
1,3,4,95,1,1,15,1,1,87,1,1,87
1,1,4,97,1,1,82,1,2,91,1,2,91
1,1,4,95,1,1,82,1,1,91,1,1,91
1,3,4,97,1,1,15,1,1,85,1,1,85
1,1,4,97,1,1,82,1,2,91,1,2,91
1,1,5,95,1,1,66,1,2,89,1,2,89
1,1,4,97,1,1,81,1,2,89,1,2,89
1,1,5,95,1,1,66,1,2,89,1,2,89
1,1,4,96,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,81,1,2,90,1,2,90
1,1,5,95,1,1,69,1,2,88,1,2,88
1,1,4,97,1,1,76,1,2,87,1,2,87
1,1,5,95,1,1,69,1,2,87,1,2,87
1,1,4,97,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,5,95,1,1,55,1,2,84,1,2,84
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,5,95,1,1,55,1,2,84,1,2,84
1,1,4,97,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,72,1,1,91,1,1,91
1,1,4,97,1,1,5,1,1,88,1,1,88
1,1,4,95,1,1,72,1,1,91,1,1,91
1,1,4,95,1,1,85,1,1,91,1,1,91
1,1,3,97,1,1,5,1,1,86,1,1,86
1,1,6,95,1,1,23,1,2,77,1,2,77
1,1,5,97,1,1,59,1,2,82,1,2,82
1,1,6,95,1,1,23,1,3,73,1,3,73
1,1,5,95,1,1,59,1,2,81,1,2,81
1,1,5,97,1,1,59,1,2,86,1,2,86
