real,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3,brigthness4,motion4,sleep4,brigthness5,motion5,sleep5,brigthness6,motion6,sleep6,brigthness7,motion7,sleep7,brigthness8,motion8,sleep8,brigthness9,motion9,sleep9,brigthness10,motion10,sleep10,brigthness11,motion11,sleep11,brigthness12,motion12,sleep12,brigthness13,motion13,sleep13,brigthness14,motion14,sleep14,brigthness15,motion15,sleep15,brigthness16,motion16,sleep16,brigthness17,motion17,sleep17,brigthness18,motion18,sleep18,brigthness19,motion19,sleep19,brigthness20,motion20,sleep20,brigthness21,motion21,sleep21,brigthness22,motion22,sleep22,brigthness23,motion23,sleep23


0,1,6,16,1,6,16,1,6,8,1,6,3,1,6,3,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,5,48,2,5,48,2,6,6,2,5,11,2,6,5,2,6,11
0,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,5,48,2,5,48,2,6,6,2,5,11,2,6,11
1,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,5,48,2,5,48,2,6,11
1,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,11
1,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,11
0,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,11
0,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,1,6,8,2,5,55,2,6,7,2,6,7,2,6,7,2,6,11
0,1,3,91,1,3,91,1,3,91,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,8,2,5,55,2,6,7,2,6,11
0,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,1,6,10,2,6,11
1,1,3,92,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,1,1,84,1,4,62,1,4,62,1,1,77,1,1,77,1,6,16,1,6,8,1,6,8,1,6,3,1,6,10,2,6,11
